candidatename,party,age,gender,race,occupation,background,noofterms,currentconstituency,constituencycontesting,ready,leader,newcomer,bp1,bp2,bp3,dob,background2,ntuc,soleleader
Ang Wei Neng,PAP,54,M,C,MP and businessman,Business,1.99,Jurong GRC,West Coast,Y,N,N,Mr Ang Wei Neng is chief executive of ComfortDelGro's taxi business. He was previously vice-president of SBS Transit.,He entered politics in 2011.,"In GE2015, his team won 79.3 per cent of the votes (95,080 votes) against a SingFirst team in Jurong GRC.",1967-03-30T16:30:00.000Z,,,
Foo Mee Har,PAP,55,F,C,MP and businesswoman,Banking_Finance_Investment,1.99,West Coast GRC,West Coast,Y,N,N,Ms Foo Mee Har is chief executive of the Wealth Management Institute at the Nanyang Technological University. She is a former banker.,She entered politics in 2011.,"In GE2015, her team won 78.6 per cent of the votes (71,091 votes) against an RP team.",1966-01-09T16:30:00.000Z,,,
Rahayu Mahzam,PAP,40,F,M,MP and lawyer,Law,1,Jurong GRC,Jurong,Y,N,N,"Ms Rahayu Mahzam is the associate director of law firm Heng, Leong & Srinivasan and former deputy registrar of the Syariah Court.",She entered politics in 2015.,"In GE2015, her team won 79.3 per cent of the votes (95,080 votes) against a SingFirst team in Jurong GRC.",1980-07-20T16:30:00.000Z,,,
Amrin Amin,PAP,42,M,M,MP and lawyer,Law,1,Sembawang GRC,Sengkang,Y,N,N,"Mr Amrin Amin is a former corporate lawyer. He became Senior Parliamentary Secretary for Home Affairs, and Health in 2018.",He entered politics in 2015. ,"In GE2015, his team won 72.3 per cent of the votes (96,639 votes) in Sembawang GRC against an NSP team.",1978-10-04T16:30:00.000Z,,,
Louis Ng ,PAP,42,M,C,MP and charity worker,Charity_social service,1,Nee Soon GRC,Nee Soon,Y,N,N,Mr Louis Ng is the founder and chief executive of animal welfare charity Animal Concerns Research and Education Society (Acres).,He entered politics in 2015.,"In GE2015, his team won 66.8 per cent of the votes (82,197 votes) against a WP team.",1978-12-07T16:30:00.000Z,,,
Sun Xueling,PAP,41,F,C,MP,Banking_Finance_Investment,1,Pasir Ris-Punggol GRC,Punggol West,Y,N,N,"Ms Sun Xueling is Senior Parliamentary Secretary for Home Affairs, and National Development. She is a former banker.",She entered politics in 2015.,"In GE2015, her team won 72.9 per cent of the votes (125,021 votes) against an SDA team.",1979-07-09T16:30:00.000Z,,,
Gerald Giam,WP,42,M,C,Chief technology officer,IT and engineering,1,N/A,Aljunied,Y,N,N,Mr Gerald Giam is the chief technology officer at a tech start-up which he co-founded.,"He entered politics in 2011 and became a Non-Constituency MP that year, until 2015. He is the treasurer of the WP.","In GE2015, his team lost with 39.3 per cent of the votes (35,547 votes) to a PAP team in East Coast GRC.",,,,
Desmond Choo ,PAP,43,M,C,MP and trade unionist,Police_Military,1,Tampines GRC,Tampines,Y,N,N,Mr Desmond Choo is director of industry transformation and productivity at NTUC. He was previously a police officer.,He entered politics in 2011 but lost to Mr Yaw Shin Leong of the Workers' Party in Hougang SMC. He was elected in 2015 in Tampines GRC.,"In GE2015, his team won 72.1 per cent of the votes (95,202 votes) against an NSP team.",1978-02-12T16:30:00.000Z,,Y,
Cheng Li Hui,PAP,44,F,C,MP and businesswoman,Business,1,Tampines GRC,Tampines,Y,N,N,"Ms Cheng Li Hui is a non-executive director at Hai Leck Holdings, which her father founded. She was previously its deputy chief executive.",She entered politics in 2015.,"In GE2015, her team won 72.1 per cent of the votes (95,202 votes) against an NSP team.",1976-08-12T16:30:00.000Z,,,
Cheryl Chan ,PAP,44,F,C,MP and businesswoman,Business,1,Fengshan SMC,East Coast,Y,N,N,"Ms Cheryl Chan heads project management and integration for the Asia-Pacific region in the Linde Group, a gas and engineering company.",She entered politics in 2015.,"In GE2015, she won 57.5 per cent of the votes (12,398 votes) in the now-dissolved Fengshan SMC against Mr Dennis Tan of the WP.",1976-12-04T16:30:00.000Z,,,
Henry Kwek,PAP,45,M,C,MP and businessman,Banking_Finance_Investment,1,Nee Soon GRC,Kebun Baru,Y,N,N,Mr Henry Kwek is the chief executive of investment firm Cerulean Capital.,He entered politics in 2015.,"In GE2015, his team won 66.8 per cent of the votes (82,197 votes) against a WP team.",1976-04-19T16:30:00.000Z,,,
Tan Wu Meng,PAP,46,M,C,MP and doctor,Healthcare,1,Jurong GRC,Jurong,Y,N,N,Dr Tan Wu Meng is Senior Parliamentary Secretary for Foreign Affairs and Trade and Industry. He is a former oncologist.,He entered politics in 2015. ,"In GE2015, his team won 79.3 per cent of the votes (95,080 votes) against a SingFirst team.",1975-05-19T16:30:00.000Z,,,
Chee Hong Tat,PAP,47,M,C,MP,Civil service,1,Bishan-Toa Payoh GRC,Bishan-Toa Payoh,Y,N,N,"Mr Chee Hong Tat is Senior Minister of State for Education, and Trade and Industry. He is a former senior civil servant.",He resigned from the civil service to enter politics in 2015.,"In GE2015, his team won 73.6 per cent of the votes (86,514 votes) against an SPP team in Bishan-Toa Payoh GRC.",1973-11-03T16:30:00.000Z,,,
Saktiandi Supaat,PAP,47,M,M,MP and banker,Banking_Finance_Investment,1,Bishan-Toa Payoh GRC,Bishan-Toa Payoh,Y,N,N,Mr Saktiandi Supaat is an economist and the executive vice-president of global markets and global banking at Maybank Group.,He entered politics in 2015.,"In GE2015, his team won 73.6 per cent of the votes (86,514 votes) against an SPP team in Bishan-Toa Payoh GRC.",1973-10-27T16:30:00.000Z,,,
Koh Poh Koon,PAP,49,M,C,"MP, doctor and trade unionist",Healthcare,1,Ang Mo Kio GRC,Tampines,Y,N,N,Dr Koh Poh Koon is Senior Minister of State for Trade and Industry. He is a colorectal surgeon and a deputy secretary-general of NTUC.,He contested the Punggol East SMC by-election in 2013 but was defeated by Ms Lee Li Lian of the WP. He was first elected in 2015.,"In GE2015, his team won 78.6 per cent of the votes (135,115 votes) against an RP team in Ang Mo Kio GRC.",1972-03-16T16:30:00.000Z,,Y,
Melvin Yong ,PAP,49,M,C,MP and trade unionist,Police_Military,1,Tanjong Pagar GRC,Radin Mas,Y,N,N,Mr Melvin Yong is an assistant secretary-general of NTUC and a former policeman. ,He entered politics in 2015.,"In GE2015, his team won 77.7 per cent of the votes (90,448 votes) against a SingFirst team.",1972-02-18T16:30:00.000Z,,Y,
Dennis Tan ,WP,50,M,C,MP and lawyer,Law,1,NCMP,Hougang,Y,N,N,Mr Dennis Tan is a shipping lawyer. He started the law firm DennisMathiew with a partner in 2005.,He started volunteering with WP in 2011 and was fielded as a candidate in 2015. He lost but became a Non-Constituency MP.,"In GE2015, he lost with 42.5 per cent of the votes (9,158 votes) in the now-dissolved Fengshan SMC against Ms Cheryl Chan of the PAP.",1970-08-30T16:30:00.000Z,,,
Leon Perera,WP,50,M,I,MP and consultant,Business,1,NCMP,Aljunied,Y,N,N,"Mr Leon Perera is the chief executive of Spire Research and Consulting, which he co-founded.",He entered politics in 2015. He became a Non-Constituency MP as he was part of the best-performing opposition team that lost. ,"In GE2015, his team lost with 39.3 per cent of the votes (35,547 votes) to a PAP team in East Coast GRC.",1970-09-28T16:30:00.000Z,,,
Steve Chia,SPP,49,M,C,Investment trader,Banking_Finance_Investment,1,N/A,Bishan-Toa Payoh,Y,Y,N,Mr Steve Chia is an investment trader and a former remisier.,"He entered politics in 1997 and was an NCMP from 2001 to 2006 under the NSP, which was then part of the SDA.","In GE2011, as an NSP candidate, he lost with 39.3 per cent of the votes (9,437 votes) in Pioneer SMC against Mr Cedric Foo of the PAP.",,,,Y
Darryl David,PAP,50,M,I,MP and educator,Research and academia_Education,1,Ang Mo Kio GRC,Ang Mo Kio,Y,N,N,Mr Darryl David is the chief executive of St Joseph's Institution International School. He is a former TV personality and game-show host.,He entered politics in 2015. ,"In GE2015, his team won 78.6 per cent of the votes (135,115 votes) against an RP team in Ang Mo Kio GRC.",1970-10-18T16:30:00.000Z,,,
Ong Ye Kung,PAP,51,M,C,MP,Business,1,Sembawang GRC,Sembawang,Y,Y,N,Mr Ong Ye Kung is Minister for Education. He was previously the director of group strategy at Keppel Corporation.,"In the 2011 General Election, he joined the PAP's incumbent Aljunied GRC team, but it was ousted by the WP. He was first elected in 2015.","In GE2015, his team won 72.3 per cent of the votes (96,639 votes) against an NSP team.",1969-11-14T16:30:00.000Z,,Y,
Ng Chee Meng,PAP,52,M,C,MP,Police_Military,1,Pasir Ris-Punggol GRC,Sengkang,Y,Y,N,Mr Ng Chee Meng is Minister in the Prime Minister’s Office and secretary-general of the NTUC. He is a former chief of defence force.,He retired from the military and entered politics in 2015. He is a member of the PAP's central executive committee.,"In GE2015, his team won 72.9 per cent of the votes (125,021 votes) against an SDA team.",1968-08-07T16:30:00.000Z,,Y,
Joan Pereira,PAP,53,F,O,MP and charity worker,Charity_social service,1,Tanjong Pagar GRC,Tanjong Pagar,Y,N,N,"Ms Joan Pereira is a community liaison director at Temasek Foundation Cares, the philanthropic arm of Singapore's investment company Temasek.",She entered politics in 2015.,"In GE2015, her team won 77.7 per cent of the votes (90,448 votes) against a SingFirst team.",1967-08-02T16:30:00.000Z,,,
Murali Pillai,PAP,53,M,I,MP and lawyer,Law,1,Bukit Batok SMC,Bukit Batok,Y,N,N,Mr Murali Pillai is a commercial lawyer and partner at law firm Rajah & Tann. He was previously a senior policeman.,"In the 2015 General Election, he was part of a team that contested Aljunied GRC but lost to the WP. He was first elected in 2016.","In the 2016 Bukit Batok by-election, he won 61.2 per cent of the votes (14,428 votes) against Dr Chee Soon Juan of the SDP.",1967-10-29T16:30:00.000Z,,,
Chong Kee Hiong,PAP,55,M,C,MP and businessman,Business,1,Bishan-Toa Payoh GRC,Bishan-Toa Payoh,Y,N,N,Mr Chong Kee Hiong is the chief executive and executive director of Suntec Real Estate Investment Trust.,He entered politics in 2015.,"In GE2015, his team won 73.6 per cent of the votes (86,514 votes) against an SPP team in Bishan-Toa Payoh GRC.",1966-04-13T16:30:00.000Z,,,
Yee Jenn Jong,WP,55,M,C,Entrepreneur,Business,1,N/A,Marine Parade,Y,Y,N,Mr Yee Jenn Jong is an entrepreneur and a mentor to start-up companies.,"He entered politics in 2011 and narrowly lost Joo Chiat SMC, now part of Marine Parade GRC, by just 388 votes. He was an NCMP until 2015.","In GE2015, his team lost with 35.9 per cent of the votes (47,753 votes) against a PAP team in Marine Parade GRC.",,,,
Sivakumaran Chellappa,PV,57,M,I,Educator,Research and academia_Education,0,N/A,Mountbatten,Y,N,Y,Mr Sivakumaran Chellappa is an educator.,,He is contesting an election for the first time.,,,,
Cheang Peng Wah,Independent,null,M,C,Business consultant,Business,0,N/A,Pioneer,Y,N,Y,Mr Cheang Peng Wah is a business consultant.,,He is contesting an election for the first time and is the only independent candidate in GE2020.,,,,
